secret,turn_index,question,label
abacus,1,What size is the object you are thinking of?,Attribute
abacus,2,Is the object man-made?,Category
abacus,3,What is the primary material the object is made of?,Attribute
abacus,4,Does the object have moving parts?,Attribute
abacus,5,Is the object something that can be held in your hand?,Attribute
abacus,6,Is the object used for a specific task or function?,Function
abacus,7,I'm going to take a guess that the object is a wooden ruler.?,Direct
abacus,8,Does the object have strings?,Attribute
abacus,9,Is the object used for a task related to food or cooking?,Function
abacus,10,Is the object used for entertainment?,Function
abacus,11,Is the object used for a task related to crafts or art?,Function
abacus,12,Does the object have a distinct or unusual smell?,Attribute
abacus,13,Is the object used primarily with the hands?,Function
abacus,14,Is the object used for a task related to personal grooming?,Function
abacus,15,Does the object make a sound when used?,Function
abacus,16,I'm going to take a guess that the object is a wooden flute.?,Direct
abacus,17,"Is the object used for a task related to music, but not a musical instrument?",Function
abacus,18,Is the object commonly found in an office or workspace?,Location
abacus,19,"Does the object serve a functional purpose, such as holding or organizing something?",Function
abacus,20,I'm going to take a guess that the object is a wooden desk organizer.?,Direct
abacus,21,Is the object used for writing or drawing?,Function
abacus,22,"Does the object have a mechanical mechanism, such as gears or levers?",Attribute
abacus,23,I'm going to take a guess that the object is a wooden pencil sharpener.?,Direct
abacus,24,Is the object used to manipulate or interact with paper in some way?,Function
abacus,25,Is the object used to fasten or join things together?,Function
abacus,26,Does the object have a rotating or turning part?,Attribute
abacus,27,I'm going to take a guess that the object is a wooden stapler.?,Direct
abacus,28,Is the object used to measure or quantify something?,Function
abacus,29,I'm going to take a guess that the object is a wooden protractor.?,Direct
abacus,30,Does the object have numbers or markings on it?,Attribute
abacus,31,I'm going to take a guess that the object is a wooden clock.?,Direct
abacus,32,Is the object used to measure time?,Function
abacus,33,Is the object used to measure length or distance?,Function
abacus,34,Is the object used to measure weight or mass?,Function
abacus,35,Is the object used to measure temperature?,Function
abacus,36,Is the object used to measure pressure?,Function
abacus,37,Is the object used to measure volume or capacity?,Function
abacus,38,Is the object used to measure angles or shapes?,Function
abacus,39,Is the object used to measure speed or velocity?,Function
abacus,40,Is the object used to measure force or torque?,Function
abacus,41,"Is the object used to measure electrical properties, such as voltage or current?",Function
abacus,42,Does the object have a digital display?,Attribute
abacus,43,Is the object an analog device?,Category
abacus,44,I'm going to take a guess that the object is a wooden slide rule.?,Direct
abacus,45,Is the object used in a specific industry or profession?,Function
abacus,46,Is the object used in the construction industry?,Function
abacus,47,Is the object used in the medical field?,Function
abacus,48,Is the object used in the field of engineering?,Function
abacus,49,Is the object used in the field of education?,Function
abacus,50,Is the object used by students?,Function
accordion,1,Is the object you are thinking of something that can be held in your hand?,Attribute
accordion,2,Is the object you are thinking of man-made?,Category
accordion,3,Does the object you are thinking of have buttons or controls of any kind?,Attribute
accordion,4,Does the object you are thinking of require batteries or an external power source to function?,Function
accordion,5,Is the object you are thinking of used for entertainment?,Function
accordion,6,Is the object you are thinking of a musical instrument?,Category
accordion,7,I'm going to take a guess that the object you are thinking of is a harmonica.?,Direct
accordion,8,Is the object you are thinking of a stringed instrument?,Category
accordion,9,Does the object you are thinking of have keys like a piano?,Attribute
accordion,10,I'm going to take a guess that the object you are thinking of is an accordion.?,Direct
album,1,Is the object you are thinking of something that can be held in one's hand?,Attribute
album,2,Is the object man-made?,Category
album,3,Does the object have buttons or controls?,Attribute
album,4,Is the object electronic?,Category
album,5,Is the object used for a specific task or function?,Function
album,6,Is the object commonly found in a kitchen?,Location
album,7,Is the object used for personal grooming or hygiene?,Function
album,8,Is the object used primarily with the hands?,Function
album,9,Is the object used for a task related to a hobby or craft?,Function
album,10,Does the object have moving parts?,Attribute
album,11,Is the object used to create or manipulate a specific type of material?,Function
album,12,Is the object used to create art or music?,Function
album,13,Is the object a musical instrument?,Category
album,14,Is the object used for drawing or painting?,Function
album,15,Is the object used for a type of craft that involves string or yarn?,Category
album,16,Is the object used for sculpting or modeling?,Function
album,17,Is the object a type of tool used in a specific art form?,Category
album,18,Is the object something that can be used by people of all ages?,Function
album,19,Is the object something that can be found in an art supply box or a craft store?,Category
album,20,"Is the object related to a performance art, such as dance or theater?",Category
album,21,Is the object a prop?,Category
album,22,Is the object something that is worn or carried by a performer?,Function
album,23,Is the object used to create a specific sound or noise?,Function
album,24,"Is the object a type of percussion instrument, even though you said it's not a musical instrument?",Category
album,25,"Is the object used to create a sound effect, such as a whoopee cushion or a slide whistle?",Function
album,26,Is the object used to amplify or project sound?,Function
album,27,"Is the object used in a specific type of performance, such as a play or a musical?",Function
