secret,question,ig
abacus,Guesser said: What is the general size of the object that you are thinking of?,0.0006294510626076999
abacus,Guesser said: What is the purpose or function of the object that you are thinking of?,0.0004631777700083717
abacus,Guesser said: What material is the object made of?,0.013624714387145076
abacus,Guesser said: How does the object help with counting and basic arithmetic operations?,0.0017007112094677979
abacus,Guesser said: I believe the object you are thinking of is an abacus.?,0.002495431686096339
accordion,Guesser said: What does the object look like?,0.0009559356877364422
accordion,Guesser said: What is the primary function of the object?,0.004498709125090983
accordion,Guesser said: What kind of sound does the object produce?,0.009014739497814617
accordion,Guesser said: How does the user control the sound that the object produces?,0.0033078279227982677
accordion,Guesser said: What is the texture of the surface of the object?,0.00018249127789715658
accordion,Guesser said: I'm going to take a guess that the object is an accordion. ?,5.296363719153874e-05
album,Guesser said: What is the general shape of the object?,0.0008474511605527368
album,Guesser said: What is the object used for?,0.0003894811564677525
album,Guesser said: What is the typical size of the object?,3.699176193450171e-05
album,Guesser said: How does the object make the music?,7.884655832768317e-05
album,Guesser said: What is the object made of?,0.00010573955097115117
album,Guesser said: What is the music stored on?,0.0008174745329405653
album,Guesser said: I guess the object is a CD case. ?,5.296363719153874e-05
album,uesser said: How is the object different from a CD case?,0.002756415033795534
album,uesser said: What does the object look like on the outside?,0.00035752003892852713
album,esser said: How does the object relate to the user of the object?,3.699176193450171e-05
album,esser said: I guess the object is a CD player. ?,5.296363719153874e-05
album,sser said: How does the object hold the CDs?,0.00010596844963473018
album,ser said: How does the user select which CD to listen to?,0.016121932287207486
album,ser said: What is on the outside of the sleeve?,3.699176193450171e-05
album,ser said: I guess the object is a CD album.?,0.002495431686096339
altar,Guesser said: What is the general size of the object you are thinking of?,0.007047757508363617
altar,Guesser said: How is the object used by people?,0.0004631777700083717
altar,Guesser said: What material is the object made of?,0.007879087275203034
altar,Guesser said: How does the object relate to the people who use it?,0.0012155291596034346
altar,Guesser said: What is the shape of the object?,0.001538471352652948
altar,Guesser said: How does the object relate to the people who use it in their daily lives?,0.00015414290015414167
altar,Guesser said: What is the object's significance in the culture of the people who use it?,5.296363719153874e-05
altar,Guesser said: I'm going to take a guess that the object is an altar. ?,5.296363719153874e-05
anchor,Guesser said: What is the object's size?,3.699176193450171e-05
anchor,Guesser said: How is the object used?,0.0017007112094677979
anchor,Guesser said: What is the object's shape?,0.0009559356877364422
