secret,question,ig,label
abacus,Guesser said: What is the general size of the object that you are thinking of?,0.0005215451280058403,Open
abacus,Guesser said: What is the purpose or function of the object that you are thinking of?,0.0006818121569693858,Open
abacus,Guesser said: What material is the object made of?,0.025262356761636795,Open
abacus,Guesser said: How does the object help with counting and basic arithmetic operations?,0.0017007112094677979,Open
abacus,Guesser said: I believe the object you are thinking of is an abacus.?,0.007656594399790606,Closed
accordion,Guesser said: What does the object look like?,0.00013459002018834099,Open
accordion,Guesser said: What is the primary function of the object?,0.003405015041934689,Open
accordion,Guesser said: What kind of sound does the object produce?,0.01837312043452144,Open
accordion,Guesser said: How does the user control the sound that the object produces?,0.0033078279227982677,Open
accordion,Guesser said: What is the texture of the surface of the object?,0.0035957546262359585,Open
accordion,Guesser said: I'm going to take a guess that the object is an accordion. ?,5.296363719153874e-05,Open
album,Guesser said: What is the general shape of the object?,0.002209343198440905,Open
album,Guesser said: What is the object used for?,0.015016851107166218,Open
album,Guesser said: What is the typical size of the object?,0.00010171407863168724,Open
album,Guesser said: How does the object make the music?,0.00047207064969612134,Open
album,Guesser said: What is the object made of?,0.001161419204159131,Open
album,Guesser said: What is the music stored on?,0.0024497145751318783,Open
album,Guesser said: I guess the object is a CD case. ?,5.296363719153874e-05,Open
album,uesser said: How is the object different from a CD case?,0.002756415033795534,Open
album,uesser said: What does the object look like on the outside?,0.0023623639617618153,Open
album,esser said: How does the object relate to the user of the object?,5.583110738882624e-05,Open
album,esser said: I guess the object is a CD player. ?,5.296363719153874e-05,Open
album,sser said: How does the object hold the CDs?,0.0003516587706684504,Open
album,ser said: How does the user select which CD to listen to?,0.00013311966066709147,Open
album,ser said: What is on the outside of the sleeve?,7.019457332191337e-05,Open
album,ser said: I guess the object is a CD album.?,0.007656594399790606,Open
altar,Guesser said: What is the general size of the object you are thinking of?,0.007047757508363617,Open
altar,Guesser said: How is the object used by people?,0.00032649754356839367,Open
altar,Guesser said: What material is the object made of?,0.01743028803657154,Open
altar,Guesser said: How does the object relate to the people who use it?,0.001299488937874571,Open
altar,Guesser said: What is the shape of the object?,0.002890902785029681,Open
altar,Guesser said: How does the object relate to the people who use it in their daily lives?,0.003511004632599679,Open
altar,Guesser said: What is the object's significance in the culture of the people who use it?,7.682581463441807e-05,Open
altar,Guesser said: I'm going to take a guess that the object is an altar. ?,5.296363719153874e-05,Open
anchor,Guesser said: What is the object's size?,0.0009101317701265543,Open
anchor,Guesser said: How is the object used?,0.0017007112094677979,Open
anchor,Guesser said: What is the object's shape?,6.914825057435792e-05,Open
anchor,Guesser said: What is the object's purpose in the context of the ship or boat?,3.699176193450171e-05,Open
anchor,Guesser said: What is the object made of?,0.014253774608111058,Open
anchor,Guesser said: How does the object relate to the people who use it?,0.008073162214643048,Open
anchor,Guesser said: What is the environment in which the object is typically used?,0.030362978799647777,Open
anchor,"Guesser said: What are the object's physical characteristics, such as its weight, texture, and color?",0.00703330856816109,Open
anchor,Guesser said: I think the object is an anchor. ?,5.296363719153874e-05,Open
anklet,Guesser said: What is the general shape of the object?,0.011443976277913492,Open
anklet,Guesser said: How does the object relate to people's daily lives?,0.0013833885618694808,Open
anklet,Guesser said: What is the object made of?,0.03213568300188996,Open
anklet,Guesser said: Is the object a watch?,0.0028133764601534494,Closed
anklet,Guesser said: What is the size of the object?,0.0069990100753365425,Open
anklet,Guesser said: What is the object's function?,0.010764862404066378,Open
anklet,Guesser said: What is the color of the object?,0.006594362075727389,Open
anklet,Guesser said: Is the object an earring?,0.0028133764601534494,Closed
anklet,Guesser said: What is the weight of the object?,0.0001354501284076548,Open
anklet,Guesser said: Is the object a ring?,0.0028133764601534494,Closed
anklet,Guesser said: How does the object stay on the person?,0.001660564547105281,Open
anklet,Guesser said: Is the object an anklet?,0.007656594399790606,Closed
anvil,Guesser said: What is the general shape of the object you are thinking of?,0.0017245660547295927,Open
anvil,Guesser said: What is the object used for?,0.0015993954150204104,Open
anvil,Guesser said: What is the material the object is made of?,0.03213568300188996,Open
anvil,Guesser said: How does the object shape the metal?,0.0012440640536439673,Open
